competencia_id,deporte,evento,genero_evento
250,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Femenino
251,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,Femenino
252,Cycling,"Cycling Men's 1,000 metres Time Trial",Masculino
253,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Masculino
254,Wrestling,"Wrestling Men's Welterweight, Freestyle",Masculino
255,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Masculino
256,Rowing,Rowing Women's Lightweight Double Sculls,Femenino
257,Athletics,Athletics Women's 800 metres,Femenino
258,Rowing,Rowing Women's Coxed Quadruple Sculls,Femenino
259,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Masculino
260,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Mixto/Open
261,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Femenino
262,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Masculino
263,Archery,Archery Men's Individual,Masculino
264,Archery,Archery Men's Team,Masculino
265,Speed Skating,"Speed Skating Women's 1,500 metres",Femenino
266,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Femenino
267,Cross Country Skiing,Cross Country Skiing Men's Sprint,Masculino
268,Athletics,Athletics Women's 400 metres,Femenino
269,Figure Skating,Figure Skating Women's Singles,Femenino
270,Speed Skating,"Speed Skating Men's 1,000 metres",Masculino
271,Trampolining,Trampolining Men's Individual,Masculino
272,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Masculino
273,Cycling,"Cycling Women's Mountainbike, Cross-Country",Femenino
274,Athletics,"Athletics Men's Javelin Throw, Both Hands",Masculino
275,Triathlon,Triathlon Women's Olympic Distance,Femenino
276,Gymnastics,Gymnastics Women's Team Portable Apparatus,Femenino
277,Cycling,"Cycling Men's Mountainbike, Cross-Country",Masculino
278,Athletics,Athletics Women's 400 metres Hurdles,Femenino
279,Diving,Diving Men's Springboard,Masculino
280,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Masculino
281,Table Tennis,Table Tennis Men's Singles,Masculino
282,Art Competitions,Art Competitions Mixed Painting,Mixto/Open
283,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Femenino
284,Judo,Judo Men's Open Class,Masculino
285,Rowing,Rowing Women's Quadruple Sculls,Femenino
286,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Masculino
287,Nordic Combined,Nordic Combined Men's Sprint,Masculino
288,Athletics,Athletics Women's Pentathlon,Femenino
289,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",Mixto/Open
290,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Masculino
291,Weightlifting,Weightlifting Women's Middleweight,Femenino
292,Swimming,"Swimming Men's 1,500 metres Freestyle",Masculino
293,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",Femenino
294,Swimming,Swimming Women's 100 metres Freestyle,Femenino
295,Equestrianism,"Equestrianism Men's Jumping, Individual",Masculino
296,Equestrianism,"Equestrianism Men's Jumping, Team",Masculino
297,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Masculino
298,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Masculino
299,Alpine Skiing,Alpine Skiing Women's Combined,Femenino
300,Athletics,Athletics Women's High Jump,Femenino
301,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Masculino
302,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Femenino
303,Ice Hockey,Ice Hockey Women's Ice Hockey,Femenino
304,Sailing,Sailing Men's One Person Dinghy,Masculino
305,Trampolining,Trampolining Women's Individual,Femenino
306,Curling,Curling Men's Curling,Masculino
307,Art Competitions,Art Competitions Mixed Literature,Mixto/Open
308,Judo,Judo Men's Middleweight,Masculino
309,Biathlon,Biathlon Women's 15 kilometres,Femenino
